board_id,active,from_parametercode,from_hoedanigheid,from_limietsymbool,from_eenheid,to_parametercode,to_hoedanigheid,to_limietsymbool,to_eenheid,support_rows,method
rivierenland,true,4573,nvt,<,ug/l,nicsfrn,nvt,<,ug/l,741,summary_equal_count_minmax_unique
rivierenland,true,4115,nvt,"",ug/l,naf,nvt,"",ug/l,730,summary_equal_count_minmax_unique
rivierenland,true,4586,nvt,<,ug/l,penccrn,nvt,<,ug/l,727,summary_equal_count_minmax_unique
rivierenland,true,4034,nvt,<,ug/l,ahch,nvt,<,ug/l,725,summary_equal_count_minmax_unique
rivierenland,true,4280,nvt,<,ug/l,azacnzl,nvt,<,ug/l,725,summary_equal_count_minmax_unique
rivierenland,true,chlfa,nvt,"",ug/l,schlfa4,nvt,"",ug/l,717,summary_equal_count_minmax_unique
rivierenland,true,4103,nvt,"",ug/l,fen,nvt,"",ug/l,689,summary_equal_count_minmax_unique
rivierenland,true,4287,nvt,<,ug/l,bhch,nvt,<,ug/l,688,summary_equal_count_minmax_unique
rivierenland,true,4052,nvt,<,ug/l,teldn,nvt,<,ug/l,684,summary_equal_count_minmax_unique
rivierenland,true,4027,nvt,<,ug/l,24ddd,nvt,<,ug/l,676,summary_equal_count_minmax_unique
rivierenland,true,4306,nvt,<,ug/l,captn,nvt,<,ug/l,673,summary_equal_count_minmax_unique
rivierenland,true,4028,nvt,<,ug/l,24dde,nvt,<,ug/l,664,summary_equal_count_minmax_unique
rivierenland,true,4100,nvt,"",ug/l,fle,nvt,"",ug/l,660,summary_equal_count_minmax_unique
rivierenland,true,4036,nvt,<,ug/l,carbdzm,nvt,<,ug/l,657,summary_equal_count_minmax_unique
rivierenland,true,4332,nvt,<,ug/l,ct4clvfs,nvt,<,ug/l,647,summary_equal_count_minmax_unique
rivierenland,true,4352,nvt,<,ug/l,cypcnzl,nvt,<,ug/l,642,summary_equal_count_minmax_unique
rivierenland,true,4102,nvt,"",ug/l,pyr,nvt,"",ug/l,641,summary_equal_count_minmax_unique
rivierenland,true,1106,nvt,"",mg/l,br,nvt,"",mg/l,635,summary_equal_count_minmax_unique
rivierenland,true,4038,nvt,<,ug/l,chpclepo,nvt,<,ug/l,631,summary_equal_count_minmax_unique
rivierenland,true,4500,nvt,<,ug/l,hextazx,nvt,<,ug/l,631,summary_equal_count_minmax_unique
rivierenland,true,4658,nvt,<,ug/l,sulcton,nvt,<,ug/l,613,summary_equal_count_minmax_unique
rivierenland,true,4441,nvt,<,ug/l,fenmdfm,nvt,<,ug/l,600,summary_equal_count_minmax_unique
rivierenland,true,4491,nvt,<,ug/l,glufsnt,nvt,<,ug/l,595,summary_equal_count_minmax_unique
rivierenland,true,4440,nvt,<,ug/l,feno2ton,nvt,<,ug/l,593,summary_equal_count_minmax_unique
rivierenland,true,4652,nvt,<,ug/l,svox,nvt,<,ug/l,591,summary_equal_count_minmax_unique
rivierenland,true,4035,nvt,<,ug/l,bedsfn,nvt,<,ug/l,583,summary_equal_count_minmax_unique
rivierenland,true,9115,nvt,<,ug/l,t4hflmde,nvt,<,ug/l,579,summary_equal_count_minmax_unique
rivierenland,true,4050,nvt,<,ug/l,peclben,nvt,<,ug/l,574,summary_equal_count_minmax_unique
rivierenland,true,4350,nvt,<,ug/l,cymoanl,nvt,<,ug/l,574,summary_equal_count_minmax_unique
rivierenland,true,4493,nvt,<,ug/l,glyfst,nvt,<,ug/l,571,summary_equal_count_minmax_unique
rivierenland,true,4390,nvt,<,ug/l,dffncn,nvt,<,ug/l,556,summary_equal_count_minmax_unique
rivierenland,true,4290,nvt,<,ug/l,bfnx,nvt,<,ug/l,539,summary_equal_count_minmax_unique
rivierenland,true,4037,nvt,<,ug/l,ccldn,nvt,<,ug/l,538,summary_equal_count_minmax_unique
rivierenland,true,4274,nvt,<,ug/l,amdsfrn,nvt,<,ug/l,538,summary_equal_count_minmax_unique
rivierenland,true,4348,nvt,<,ug/l,cycxdm,nvt,<,ug/l,537,summary_equal_count_minmax_unique
rivierenland,true,4439,nvt,<,ug/l,fenhxad,nvt,<,ug/l,525,summary_equal_count_minmax_unique
rivierenland,true,4245,nvt,<,ug/l,34dclfol,nvt,<,ug/l,511,summary_equal_count_minmax_unique
rivierenland,true,4224,nvt,<,ug/l,245tclfol,nvt,<,ug/l,510,summary_equal_count_minmax_unique
rivierenland,true,4246,nvt,<,ug/l,35dclfol,nvt,<,ug/l,508,summary_equal_count_minmax_unique
rivierenland,true,4217,nvt,<,ug/l,2345t4clfol,nvt,<,ug/l,507,summary_equal_count_minmax_unique
rivierenland,true,4265,nvt,<,ug/l,acnfn,nvt,<,ug/l,506,summary_equal_count_minmax_unique
rivierenland,true,4553,nvt,<,ug/l,c1ymsfrn,nvt,<,ug/l,505,summary_equal_count_minmax_unique
rivierenland,true,4221,nvt,<,ug/l,235tclfol,nvt,<,ug/l,502,summary_equal_count_minmax_unique
rivierenland,true,4223,nvt,<,ug/l,23dclfol,nvt,<,ug/l,500,summary_equal_count_minmax_unique
rivierenland,true,4220,nvt,<,ug/l,2356t4clfol,nvt,<,ug/l,499,summary_equal_count_minmax_unique
rivierenland,true,4416,nvt,<,ug/l,etofcb,nvt,<,ug/l,499,summary_equal_count_minmax_unique
rivierenland,true,4243,nvt,<,ug/l,345tclfol,nvt,<,ug/l,497,summary_equal_count_minmax_unique
rivierenland,true,4427,nvt,<,ug/l,c2yetourum,nvt,<,ug/l,492,summary_equal_count_minmax_unique
rivierenland,true,4614,nvt,<,ug/l,pyrcsbn,nvt,<,ug/l,489,summary_equal_count_minmax_unique
rivierenland,true,4247,nvt,<,ug/l,3clfol,nvt,<,ug/l,488,summary_equal_count_minmax_unique
rivierenland,true,4253,nvt,<,ug/l,4clfol,nvt,<,ug/l,488,summary_equal_count_minmax_unique
rivierenland,true,4588,nvt,<,ug/l,peclfol,nvt,<,ug/l,487,summary_equal_count_minmax_unique
rivierenland,true,4237,nvt,<,ug/l,26dclfol,nvt,<,ug/l,486,summary_equal_count_minmax_unique
rivierenland,true,4241,nvt,"",ug/l,mcpa,nvt,"",ug/l,483,summary_equal_count_minmax_unique
rivierenland,true,4238,nvt,<,ug/l,2clfol,nvt,<,ug/l,481,summary_equal_count_minmax_unique
rivierenland,true,4219,nvt,<,ug/l,234tclfol,nvt,<,ug/l,475,summary_equal_count_minmax_unique
rivierenland,true,4218,nvt,<,ug/l,2346t4clfol,nvt,<,ug/l,471,summary_equal_count_minmax_unique
rivierenland,true,4251,nvt,<,ug/l,4cl3c1yfol,nvt,<,ug/l,471,summary_equal_count_minmax_unique
rivierenland,true,9101,nvt,<,mmol/l,acdtt,nvt,<,mmol/l,467,summary_equal_count_minmax_unique
rivierenland,true,4355,nvt,<,ug/l,damnzde,nvt,<,ug/l,464,summary_equal_count_minmax_unique
rivierenland,true,4422,nvt,<,ug/l,etpfs,nvt,<,ug/l,464,summary_equal_count_minmax_unique
rivierenland,true,4535,nvt,<,ug/l,meston,nvt,<,ug/l,464,summary_equal_count_minmax_unique
rivierenland,true,4664,nvt,<,ug/l,tebfprd,nvt,<,ug/l,460,summary_equal_count_minmax_unique
rivierenland,true,4695,nvt,<,ug/l,tmevfs,nvt,<,ug/l,458,summary_equal_count_minmax_unique
rivierenland,true,4717,nvt,<,ug/l,tfsfrnc1y,nvt,<,ug/l,444,summary_equal_count_minmax_unique
rivierenland,true,4506,nvt,"",ug/l,imdcpd,nvt,"",ug/l,440,summary_equal_count_minmax_unique
rivierenland,true,4617,nvt,<,ug/l,pyrfnx,nvt,<,ug/l,436,summary_equal_count_minmax_unique
rivierenland,true,chlfa,nvt,<,ug/l,schlfa4,nvt,<,ug/l,433,summary_equal_count_minmax_unique
rivierenland,true,4557,nvt,<,ug/l,metbmrn,nvt,<,ug/l,425,summary_equal_count_minmax_unique
rivierenland,true,4276,nvt,"",ug/l,ampa,nvt,"",ug/l,421,summary_equal_count_minmax_unique
rivierenland,true,4393,nvt,<,ug/l,dmtad,nvt,<,ug/l,419,summary_equal_count_minmax_unique
